Sample,ceramideId,isotope,replicate,area,SampleType,LabId,ceramideName,Protocol,Vendor,Instrument,MassAnalyzerType
yA-A 2,1,h,2,17006.4728876652,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 2,1,h,3,8172.1835696212,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 2,2,h,1,13421.3800833106,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 2,2,h,2,14834.3544598325,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 2,2,h,3,6033.2245971193,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 2,3,h,1,280375.277380279,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 2,3,h,2,283560.412233502,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 2,3,h,3,126652.138822944,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 2,4,h,1,73609.7604238253,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 2,4,h,2,78694.8418499564,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 2,4,h,3,35717.1511088661,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 3,1,l,1,11633.6420316272,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 3,1,l,2,11700.5696867065,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 3,1,l,3,7512.14220484529,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 3,2,l,1,3951.26415878393,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 3,2,l,2,3906.10173122712,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 3,2,l,3,2153.69019635392,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 3,3,l,1,161559.64496037,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 3,3,l,2,155060.597765694,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 3,3,l,3,80269.5759604375,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
yA-A 3,4,l,1,41452.4825363922,NIST YAA,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
