Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02a,NIST YAA,yA-A 3,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.946153846,0.993525718,0.946485911,0.970005814
02a,NIST YAA,yA-A 3,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.284810127,0.315469673,0.299065694,0.307267684
02a,NIST YAA,yA-A 4,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.118941327,0.090361584,0.084793562,0.087577573
02a,NIST YAA,yA-A 4,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.01779476,0.027142364,0.026875076,0.02700872
02a,NIST YAA,yA-A 4,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.895714286,0.939489281,0.895269715,0.917379498
02a,NIST YAA,yA-A 4,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.275157233,0.304337468,0.288709711,0.29652359
02a,NIST YAA,yA-A 5,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.112678855,0.085468212,0.080160638,0.082814425
02a,NIST YAA,yA-A 5,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.017316514,0.026385268,0.026122286,0.026253777
02a,NIST YAA,yA-A 5,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.890862944,0.934291988,0.890343676,0.912317832
02a,NIST YAA,yA-A 5,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.275089606,0.304259478,0.288637158,0.296448318
02a,NIST YAA,yA-A 6,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.108877389,0.08249782,0.077348345,0.079923083
